
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-03-23 14:50:22 /api/shops/2/public ...................................................................... ~ 8s
  2026-03-23 14:50:30 / ........................................................................................ ~ 4s
  2026-03-23 14:51:43 / .................................................................................. ~ 519.07ms
  2026-03-23 14:51:43 /api/shops/2/public ................................................................ ~ 511.76ms
  2026-03-23 14:55:26 / .................................................................................. ~ 520.26ms
  2026-03-23 14:55:26 /assets/index-CEOVj_hZ.js ............................................................ ~ 7.29ms
  2026-03-23 14:55:26 /assets/index-Mo8pVvb0.css .......................................................... ~ 14.35ms
  2026-03-23 14:55:26 /favicon.ico ......................................................................... ~ 0.24ms
  2026-03-23 14:55:33 /api/login ............................................................................... ~ 1s
  2026-03-23 14:55:34 /api/profile ......................................................................... ~ 0.46ms
  2026-03-23 14:55:34 /api/subscription/plans ............................................................ ~ 506.87ms
  2026-03-23 14:55:35 /api/subscription/plans ............................................................ ~ 517.65ms
  2026-03-23 14:55:36 /favicon.ico ......................................................................... ~ 0.90ms
  2026-03-23 14:55:37 /api/profile ....................................................................... ~ 508.98ms
  2026-03-23 14:55:37 /favicon.ico ......................................................................... ~ 0.54ms
  2026-03-23 14:55:37 /api/subscription/plans ............................................................ ~ 502.12ms
  2026-03-23 14:55:38 /api/subscription/plans ............................................................ ~ 507.40ms
  2026-03-23 14:55:38 /favicon.ico ......................................................................... ~ 0.97ms
  2026-03-23 14:55:44 /api/profile ......................................................................... ~ 0.75ms
  2026-03-23 14:55:44 /favicon.ico ......................................................................... ~ 0.48ms
  2026-03-23 14:55:44 /api/subscription/plans ............................................................ ~ 503.54ms
  2026-03-23 14:55:49 /api/subscription/plans ............................................................ ~ 515.20ms
  2026-03-23 14:55:50 /favicon.ico ......................................................................... ~ 0.49ms
  2026-03-23 14:55:50 /assets/ShopsView-AANzipuZ.js ........................................................ ~ 0.84ms
  2026-03-23 14:55:50 /assets/ShopsView-BrJfB3CQ.css ....................................................... ~ 7.42ms
  2026-03-23 14:55:50 /api/shops ......................................................................... ~ 496.77ms
  2026-03-23 14:55:51 /favicon.ico ......................................................................... ~ 0.50ms
